#animal|symbol|color
276987991426287|&#8855;|247
276387871007196|&#8855;|247
208333OL0505815|&#8855;|247
276455670055710|&#8855;|247
276455878415114|&#8855;|247
276467678026502|&#8855;|247
276306060014014|&#8869;|1
276455870288411|&#8869;|1
276455870038612|&#8869;|1
276467000127803|&#8869;|1
276467000033304|&#8869;|1
276467000186106|&#8869;|1
276455870212910|&#8869;|1
276387870131099|&#8869;|1
276455870243611|&#8869;|1
276487000269703|&#8869;|1
276987000086036|&#8226;|34
276455878403714|&#8226;|34
276487871413602|&#8226;|34
276456370156611|&#8226;|34
276455670061907|&#8226;|34
276455870193108|&#8226;|34
276455871002208|&#8226;|34
276455670085515|&#8226;|34
276455870169407|&#8226;|34
276455670105214|&#8226;|34
276455870213909|&#8226;|34
276487870736100|&#8226;|34
276455670042913|&#8226;|34
276455870135515|&#8226;|34
276455870227914|&#8226;|34
276455670102014|&#8226;|34
276487000152806|&#8226;|34
276467000027506|&#8226;|34
276455878570208|&#8226;|34
276467000708501|&#8226;|34
276455670130812|&#8226;|34
276455870106815|&#8226;|34
276455678051209|&#8226;|34
276367671003896|&#8226;|34
276306064117609|&#9650;|50
276455870131012|&#9650;|50
276455870135909|&#9650;|50
276455670155412|&#9650;|50
276331320167830|&#9660;|154
276455870021109|&#9660;|154
276455670158015|&#9660;|154
276467000127404|&#9660;|154
276367671003397|&#9660;|154
276487870729800|&#9660;|154
276455870027314|&#9660;|154
276455870167713|&#9660;|154
276467000647201|&#9660;|154
276455870044508|&#9660;|154
276455870046110|&#9660;|154
